date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:28	13806/13806	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Aug%202017%2009:53:52%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/contact.html	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/contact.html	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:38:50	1245/1245	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon1.png	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon1.png	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:38:56	1287/1287	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon3.png	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon3.png	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:14	1048/1048	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon2.png	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/icon2.png	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:20	569382/569382	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:19%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/2.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/2.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:39	91125/91125	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:17%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/1-thumb.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/1-thumb.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:51	664878/664878	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:20%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/3.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/3.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:51	108085/108085	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:18%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/2-thumb.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/2-thumb.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:39:52	102100/102100	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:19%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/3-thumb.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/3-thumb.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:11	150034/150034	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:19%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/4-thumb.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/4-thumb.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:17	148264/148264	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:18%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/11.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/11.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:24	9880/9880	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s1.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s1.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:31	7361/7361	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:22%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s2.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s2.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:38	7774/7774	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:23%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s3.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s3.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
18:40:45	9511/9511	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Aug%202017%2010:00:23%20GMT	http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s4.jpg	/var/www/html/Prasanth/red/dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/images/s4.jpg	(from http://dd.365bootstrap.com/demo/botksn/365bootstrap/RedRestaurant/index.html)
